,title,pp,summary,total_jobs,total_hours,locality,country,perc_job_success,projects,skills_list
0,"Senior Graphic Designer | Graphic, Editorial & Presentation Design",$70.00/hr,"I have been a Sr. Graphic Designer for over 15 years, working on a wide variety of challenging projects in such industries as Startups, Web3, Food & Agriculture, Transportation, Beauty & Health, Creative Industries, Retail & e-Commerce, Hospitality & Leisure, Manufacturing & Industrials, Real Estate, and Professional Services.

Some of these projects are already listed in the portfolio section, where you will find numerous 5-star reviews with raving Feedback and all relevant skill certifications.

I’m part of a prioritized pool of talent that Upwork highlights to their top clients, including Fortune 500 clients and clients looking for experts. My Design portfolio passed the evaluation and earned an Upwork Skill Certification in:
🏅 Graphic Design
🏅 Presentation Design 
🏅 Brand Identity 
🏅 Editorial Design 

I also have an Adobe Certification in Visual design using professional design tools such as well: 
🔸  Adobe Photoshop
🔸  Adobe Illustrator
🔸  Adobe InDesign

And also, use in work:
🔸  Figma
🔸  Google Slides
🔸  Canva
🔸  Adobe Premier
🔸  Adobe After Effects
🔸  Keynote

I’m reliable in managing projects with high priority and meeting deadlines. I work worldwide and am available for one-time and long-term freelance work. 

I genuinely believe in the power of visual communication. Design is a visual language. It is the voice-over of each brand. And I help it sound more apparent to the customer. For business needs, you may even consider it to be native. 

= HARD SKILLS =
🏅 Graphic design: branding, logo, product and packaging, presentation, wayfinding systems, digital media
🏅  Presentation Design (Startup Pitch Deck, Investment Presentation, Sale Presentation, Corporate Presentation, etc.)
🏅  Brand Identity (Logo Design, Logo Redesign, Rebranding, Branding, etc.)
🏅  Editorial Design (White Paper, One Pager, Business Plan, Report, Research, Magazine, etc). 

= SOFT SKILLS =
Creativity, analytical thinking, emotional and cultural intelligence, interpersonal communication, active learning with a growth mindset, crisis management and decision-making, leadership, embracing change

= ADDITIONAL TECHNICAL SKILLS =
Extensive knowledge of MAC (Keynote, Pages, Sheets); Adobe Certified Professional in Visual Design and professional user of Adobe Creative Cloud (Photoshop, Illustrator, InDesign, Premiere Pro); Google Docs, Microsoft Office; Web Design (Tilda, Wix); Marketing Tools (Google Analytics/AdWords, Facebook Business & Ads Manager); CRM (Bitrix24)

Last update: September 26, 2024",136,"2,561",Kharkiv,Ukraine,100,"['Glacier RFP PowerPoint Template', 'Visual Design for Climate Dollars Report (Graphic Design / PDF)', 'Graphic Design Assistance for US-Based Agency', 'Powerpoint Slide Designer Specialist', '30 minute consultation', 'Hospitality Staffing Marketing Collaterals Graphic Designer', 'Prospectus Completion and Formatting', 'Dynamic Risk - NDTG 2024 Business Plan Design', 'InDesign wizard and a PowerPoint pitch deck designer to support a customer experience futurist (US)', 'Pitch deck & one-pager designer for venture capital project (Figma)', 'Presentation support', 'Oct 2024 - Layouts for first annual Climate Dollars report', 'Interactive Figma Prototypes for a Financial Services Platform', 'ATB - CED Sponsorship Video\t113864', 'Infographic Design for Blockchain Capital Markets', 'JA ABHF Program Design', 'Canva/Figma Designer for Venture Capital Fund', 'Graphic design for 2020 Gene / OneTest', 'Yoghurt cups', 'Breakfast Pocket']","['Editorial Design', 'Layout Design', 'Adobe Photoshop', 'Adobe InDesign', 'Presentation Design', 'Graphic Design', 'Figma', 'White Paper Design', 'Canva', 'Microsoft PowerPoint', 'Pitch Deck', 'Google Slides', 'Data Visualization', 'Brand Identity', 'Adobe Creative Cloud']"
1,Graphic Designer |  Web design | Editorial design,$50.00/hr,"Elevate your projects with an expert graphic designer who specializes in print and web design to captivate your audience and enhance the impact of your websites, reports, brochures, and presentations. By utilizing industry-leading tools like Figma, Adobe InDesign, Illustrator, Photoshop, AI, and PowerPoint, your projects will be executed with precision, creativity, and on schedule.

I am ready to assist with a wide range of projects, including graphic and print design, website and user interface design, and marketing materials such as brochures, flyers, and annual reports. My expertise also extends to crafting compelling business documents like white papers, case studies, and catalogs, as well as developing cohesive corporate identity designs and pitch decks.

With a respectful and efficient work ethic, I am dedicated to managing your projects promptly and professionally, ensuring that your vision is brought to life. You can trust that I stay updated on the latest design trends to offer fresh, innovative solutions that exceed your expectations.",570,"16,390",Sofia,Bulgaria,100,"['Capabilities Overview - build a back and forth one pager plus a partnership benefits page', 'design A4 informative sign for a business', 'Magazine Layout Designer', 'design whitepaper from document supplied', 'Graphic Designer for Company (Ongoing)', 'State Bar Court Zoom Backgrounds', 'Graphic Designer for collateral design/branding strategy and execution of the technical deliverables', 'Need experienced designer for Powerpoint case study', 'TURC contract for designing brochure and other', '5 Product Brochure Updates', 'Creating 3 Emailers for internal communication @ Beckman Coulter  \n            -\n            \n              Upwork enterprise client', 'Business card cleanup', 'Banner Design', 'Presentation Design', 'Investment Memo Creation', 'EU Strategic Communications Projects \n            -\n            \n              Upwork enterprise client', '2024 training calendar', 'One-pager for ""branded"" organizational initiative: I need a symbol and a one page impact document.  \n            -\n            \n              Upwork enterprise client', 'Editorial design of reports for web and print', 'Create a (new) website wireframe, optimised for visual appeal, graphic design, layout, UX and UI']","['Adobe XD', 'Web Design', 'Figma', 'Adobe Photoshop', 'Landing Page', 'User Interface Design', 'Custom Web Design', 'Graphic Design', 'Editorial Design', 'Annual Report', 'Modern Style', 'Flowchart', 'Adobe InDesign', 'Print Design', 'Presentation Design']"
2,Presentation & Graphic Designer,$60.00/hr,"6000+ hours worked on Upwork | 200+ successful projects | 10 years experience.

Experienced in Presentation, Editorial, Graphic, and Social Media design. Work in Adobe Illustrator, InDesign, Photoshop, and PowerPoint.

If you need to revamp the presentation or build a new presentation from the ground up, I can help you. I can design presentations, infographics, and print products.

Be free to contact me with your project. Let's work together!",292,"6,510",Lodz,Poland,100,"['PowerPoint presentation design', 'Power Point Pitch Deck', 'Seek a PowerPoint Designer for Sales Decks', 'Text insertion - book pages', 'Luxury bespoke joinery & interiors capability statement and brochure for villa projects', 'Presentation Designer | Pitch Deck Creation & Visual Storytelling | Healthcare Brands', 'GE HR MIGRATION', 'Business plan powerpoint presentation for internal executive meeting', 'Quick Wordmark update (adding subheader)', 'Event PowerPoint Design Refresh', 'Rework Powerpoint Slides', 'Slides for Premier Research', 'Madhouse Rebranding // new presentation', 'Seeking a graphics designer for PowerPoint Presentations', 'PowerPoint template & social media template design', 'PowerPoint Master Slides for a B2B Agency', 'Academic Presentation Design', 'Power Point Design', 'Power Point Design', 'Presentation for Mile (start-up)']","['Presentation Design', 'Graphic Design', 'Infographic', 'Adobe Photoshop', 'Adobe InDesign', 'Microsoft PowerPoint', 'Adobe Illustrator', 'Social Media Design', 'Presentations', 'Business Presentation', 'Business Proposal']"
3,Figma Expert Product Designer with over 15 live products,$45.00/hr,"Hello, I am June, an experienced Product Designer with a rich background in UX research, interaction design, and visual design, I bring a wealth of expertise to every project. With 5 years of hands-on experience, I've had the privilege of working on diverse projects across various industries, honing my skills in creating user-centered and visually compelling designs.

🌟 My career highlights include leading the redesign of the Jito staking platform at Wonderstruck, resulting in a remarkable 150% improvement in user experience. I've also contributed to successful products like ZeroChat, Ozones, and forums, driving significant user engagement and increasing daily active users. Moreover, my role as a Product Design Lead at Earnipay allowed me to spearhead the initial design of product V1, securing $3 million in seed funding and achieving a 72% reduction in sign-ins.

📚 Education-wise, I've furthered my skills with courses in UX Research and Advanced Design Tactics. Proficient in industry-standard tools like Figma, I have a solid foundation in design principles and a keen eye for detail.

💡 My commitment is to deliver exceptional design solutions that not only meet but exceed client expectations. I thrive in collaborative environments, and my track record reflects my dedication to achieving outstanding results. Let's work together to bring your project to life with top-notch design and a user-first approach.


My Skills:
✅ Web design (UX/UI)
✅ Mobile design (UX/UI)
✅ Responsive website design
✅ User flow Creation
✅ Illustration Creation
✅ Wireframing
✅ Mindmap / Customer Journey Map creation
✅ Logo creation
✅ E-commerce design
✅ Branding / corporate Identity creation
✅ Landing page design
✅ Web application/SaaS product design
✅ Dashboard design
✅ Icon design
✅ Motion design
✅ UX Research
✅ Competitors analysis
✅ User Flow
✅ Interactive prototyping
✅ Webflow development
✅ Wordpress elementor development


Tools i Use
• Axure
• Figma
• InVision
• Marvel
• Sketch
• Adobe XD
• Proto.io
• Adobe Photoshop
• Adobe After Effects
• WordPress
• Webflow
• Trello
• Asana
• Basecamp
• Jira

You can find me using the following keywords:
Design, UX/UI, UX, UI, User Interface Design, Landing Page Design, Web & Mobile Design, Responsive Design, Graphics & UI Design, User Experience Design, Website, Wireframing, Google, Material Design, Export Assets from Sketch, UI Research, Web Design, Sketch, App, Adobe Photoshop, Adobe Illustrator, Landing Page, Graphic Design, UI/UX Design, Mobile UI/UX Design, Material Design, UX Design, User experience design, iOS App Design, Android Design, iPad Design, iPhone Design, User Experience, Landing, Design Thinking, Interaction Design, SAAS, Designer, Adaptive, Design Expert, Update, Application design, Desktop, Visual Design, Sketch, Mobile Design, Usability, Photoshop, Mock-up, Creative, iPhone, App Design, Wireframe, Design Guru, Web-design, Job, Application, Guidelines, iOS, Logotype, Adobe, platform design, Website Prototyping, Branding, Graphic Design, Hire, Graphics, Agency, Productive, Testing, Advertising, Solutions, Illustrator, A/B Testing, Long term, Responsive, Android, Effective, Experienced, Identity, Identity, Design Thinking, Management, Art Director, Head of Design, Search, Digital, Promo, Redesign, Creation, UI/UX, UI Design, STARTUP, CJM, iOS and Android guidelines, Adobe Photoshop, website design, UX design, wireframes design, prototype designI, Figma, Sketch, Android and iOS app design, Infographics design, Animation UI, User Interface, eCommerce web design, Graphic design, User Flow, Marvelapp, Android app design, NFT, iOS guidelines, FinTech, pitch deck presentation design, eCommerce web design, SaaS product, InVision, eCommerce app design, Landing Pages Design, Animations creation, Principle GUI design, Branding, logo design, Graphic design, icon design, Platforms, WordPress design, pitch deck presentation design, User Experience Design, prototype design, UI Research, Website Wireframing, Google Material Design, Webdesign, web designer, Export Assets from Sketch, Animations creation, WordPress design, Logo Design, SaaS platform, Clickable prototype, usability audit, Responsive Web Design, sleek, Webdesign, crypto, Infographics design, Android guidelines, Principle, GUI design, Tailwind, User interface designs, UX Research, Axure, SaaS Project Design, Webflow Design, Webflow Development, Illustration creation, Platform Creation, SaaS Platform Design, Graphic Design Creation, Branding Design, Motion Design, WordPress Development, Shopify, Consultation, Strategy consultation, MockUp design",24,"2,219",Coventry,United Kingdom,94,"['Logo Creation in Vector Format', 'Design Manager/Creative Director for Design Management and Creative Direction \n            -\n            \n              Upwork enterprise client', 'Looking for a Content Writer / Ux Writer for long term work', 'Email marketing and copy support', 'Writing short descriptions (templates) for social media posts 35-50 words per one.', 'Freelance Beauty Copywriter - Product Launch', 'Production Graphic Designer for Ongoing Label Changes (Single Cask Whisky)', 'Webflow Developer and UI Designer Needed for Website Recreation and Enhancement', 'Video animation project', 'Updates 2023', 'UI/UX Designer for PropTech platform', 'Figma/Keynote designer for presentation deck w/ animations', 'Pitch Deck Creation', 'Presentation Design for Strategy 2024']","['User Interface Design', 'Templates', 'User Experience Design', 'Visual Presentation Design', 'Adobe Creative Suite', 'Editorial Design', 'Sketch', 'Figma', 'Presentation Design', 'Brochure', 'Microsoft PowerPoint', 'Keynote', 'Google Slides', 'Landing Page']"
4,"Expert in Adobe indesign, Infographics, Reports, Presentations & Canva",$35.00/hr,"I've honed my skills to ensure that I can meet tight deadlines without compromising on quality. I pride myself on my clear communication with clients, ensuring that we're always on the same page throughout the project. My goal is simple: to exceed your expectations and leave you fully satisfied with the results. Check out my portfolio to see some examples of my work, and feel free to reach out if you have any questions or if you'd like to discuss your project further. I look forward to the opportunity to work together!

Welcome to my profile! 

I am Osama Elsayed, a highly skilled graphic designer with a passion for delivering visually stunning designs. With 8 years of experience in the field and over 150 contracts completed, 

I have established myself as a top-rated  Plus freelancer on Upwork, delivering exceptional work for clients from around the world. My expertise includes annual report design, ESG report design, infographics, magazine design, company profiles, social media graphics, brochures, flyers, business cards, book design, ebook design, chart design, and more. 

My technical proficiency with Adobe InDesign, Adobe Illustrator, Adobe Photoshop, Microsoft Word, and Microsoft PowerPoint enables me to bring my creative vision to life with precision and efficiency. 

With a unique eye for detail and a commitment to excellence, I am dedicated to helping my clients effectively communicate their message through my designs. 

Browse my portfolio on Upwork to see why I am one of the top-rated graphic designers on the platform then 📌 Click the Green ""𝐈𝐧𝐯𝐢𝐭𝐞 𝐭𝐨 𝐉𝐨𝐛""  or ""Hire’  button in the top right-hand corner.",154,"1,396",Cairo,Egypt,95,"['One US letter size infographic based on one PowerPoint slide mockup', 'Creative Presentation Designer', 'Design a visually-engaging one-page PDF dashboard using existing text, graphs, and tables', 'Presentation Project', 'Arabic Power Point Presentation', ""Indonesia's Legacy Forward: National Progress through Visionary Projects"", 'Remake Diagrams in PPT', 'Annual Report and Power Point Presentation', 'Infographic for Customer Survey Results', 'Looking for a Graphic Designer for Proposals', 'Annual Report Design', 'Need to make report professional (use Indesign?)']","['Adobe InDesign', 'Microsoft PowerPoint', 'Page Layout Design', 'Layout Design', 'Canva', 'Editorial Design', 'Infographic', 'Adobe Illustrator', 'Presentation Design', 'Microsoft Word', 'Annual Report', 'Presentations', 'Graphic Design']"
5,"Graphic, Editorial & Presentation Design Expert | Art Director",$48.00/hr,"Hello! I’ve been involved in the information design industry for over 10 years, and my experience is my most valuable skill, along with my desire for constant learning and improvement. In 2019, I founded Infowithart Design Agency—a team of visual storytellers! 

We aim to tell your story in a visually appealing and thrilling manner to effectively convey your message to the target audience.

Main design services.
1) Graphic design:
- infographics;
- illustrations (any difficulty and style, from simple to complex technical and isometric);
- presentations (investor, sales, educational, business, and other pitch decks);
- banners and other advertising designs.

2) Editorial design:
- reports;
- whitepapers; 
- brochures, ebooks, cheat sheets, etc.

2) 2D animation:
- explainer videos (intro/outro, advertising, etc.).
- GIF animation, etc.

If the content is king, then the design is queen. So let's keep them together (to rule the kingdom) and make outstanding visual content! It’s critical to ensure your content is widely read and shared.",607,"2,796",Khmelnytskyi,Ukraine,99,"['Graphic Designer – Isometric Data Center Designs', 'Illustration of a two-sided marketplace for Agriculture', 'Illustrator for Blueprint-like Organizational Structure', 'Kyowa Kirin  Groundbreaking Ceremony', 'UIUX infographic job', 'Draw a cartoon case study on 99designs', 'Design agency wanted for crypto project', 'Brochure Designer needed to finalize school brochure', 'Vector Illustration, Infographic, and illustrated banners for website', 'Animated Video', 'Graphic Designer (3109)', 'Re-create scientific tables and figures for article', 'Graphic Designer: Vector Illustration, Infographic, and illustrated banners for website and email', 'Arpios B2B Infographics', 'Create interactive report with infographics summarizing  annual results', 'Draw a cartoon case study on Klarna AI', 'Re-create scientific graphics for blog articles', 'Draw a cartoon case study', 'Graphics, Visual, and Print Designer', 'Graphic Design']","['Data Visualization', 'Presentation Design', 'Art Direction', 'Infographic', '2D Animation', 'Brand Identity & Guidelines', 'Graphic Design', 'Editorial Design', 'Technical Illustration', 'Sales & Marketing Collateral', 'Ebook Design', 'Annual Report', 'Layout Design', 'Advertising Design', 'Business Illustration']"
6,Product designer | Mobile apps designer | SaaS platform designer,$45.00/hr,"🏆 Top 3% on Upwork.
✅ Fluent English.
✅ Swift response and communications.

I am a seasoned delivery manager, and I lead a team of skilled UX designers and development professionals. 

We are BN Digital, a team of creators, software engineers, and strategists. Companies like Microsoft, Cambridge University, Snap, hire us when they want to have a reliable partner who cares abut their customers. We worked with dozens of the world’s largest brands and partnered with hundreds of innovative startups, helping them grow and succeed by unleashing the power of design and technology.

What are the main things I can help you with: 
🔮 Understanding how your idea could be brought to life via business analysis, right technology stack, and proper processes and practices; 
🔮 Saving time and money via rapid prototyping, creating proofs of concepts, defining and launching a minimum valuable product; 
🔮 Bringing your idea to real customers via assigning the right team and moving through software development cycle; 
🔮 Lowering development risks and costs via precise and technically feasible requirements and product management; 
🔮 Deploying bullet-proof solutions, creating efficient, scalable infrastructure, and setting up swift, reliable CI/CD processes.

Our technology stack and capabilities:
🧑‍💻 Front end:
React.js, Vue.js, HTML5, CSS3, Javascript, Typescript
🧑‍💻 Cross-platform frameworks:
Flutter, Dart, React Native, Javascript, Typescript
🧑‍💻 Back end:
Node.js, Firebase, PHP, Symfony 
🧑‍💻 Databases:
MongoDB, DynamoDB, PostgreSQL, MySQL/MariaDB
🧑‍💻 Infrastructure:
Kubernetes, Docker, GitHub, AWS, Azure, DigitalOcean
🧑‍💻 Integrations:
Stripe, Google, Mailchimp, Hubspot,
🧑‍💻 Handy additions:
Ant.d, Storybook.js, D3.js, Kafka, RabbitMQ, Terraform, IaaS

🧲 Our team capabilities include:
UX Design, UI design, Prototyping, Interaction design, Branding, Animations and lnteractions creation

Industries and solutions we excel in:
🚀 Fintech, financial services: finances governance, pricing tools, reporting, self-service tools, data visualization, KYC;
🚀 Proptech, real estate: booking systems, marketplaces, property governance, risk management;
🚀 Healthtech, healthcare, wellness, fitness: various trackers, personal assistants;
🚀 Adtech, marketing: marketplaces, booking system, risk management tools;
🚀 System-as-a-Service platforms: onboarding, user conversion, customer retention.

What does this mean for you?
✅ You get a real partner who has your best interests at heart, and we will not let you back the wrong horse; 
✅ You access to top-notch expertise in digital product development for a variety of verticals; 
✅ Whoa, you read through this list. We appreciate it. You'll find many small cool things while working with us, like this immediate 5% discount for the first 100 hours of a scope; 
✅ You acquire a massive amount of proven solutions, practices, and processes, which would boost your productiveness and efficiency. 

Whether you are a new startup or an established enterprise, our team is here to help. Please get in contact, and I provide an assessment of what your project needs to be successful.

Keywords that you can use to find me: 
Custom software, software development, web development, web app development, application development, UI development, development expert, platform development, software development, guidelines, continuous development, desktop, iPhone, application, usability, website, responsive, adaptive, long term, effective, productive, experienced,  React,React.js, ReactJS, Strapi CMS, Stripe API, CMS,  Vue.js, HTML5, CSS3, HTML, CSS, javascript, typescript, Node.js, Node, MongoDB, GitHub, GitLab, BitBucket, agile, scrum, kanban, Jira, Asana, Trello, Pug, Blade, EJS, SASS, SCSS, LESS, Stylus, Redux-thunk, webpack, Gulp, RxJS, SQLite, PostgreSQL, Kubernetes, K8s, Docker, Docker Swarm, Ansible, Github, CI/CD, Continous integration, Continous delivery, terraform, infrastructure, Portainer, Grafana.",158,"9,260",Kyiv,Ukraine,95,"['Graphic Designer for Query Redesign', 'Signage Artwork for Pop-Up Shop', 'EverTrust Health brand concept and redesign', 'Social Media Logo/Marketing Graphic design Work', 'Landing Page Redesign', 'WEB APP DESIGN', 'Design T-Shirts for our Brand', 'Create integrations for B2B applications', 'Graphic Designer for Email and Ads', 'New design for existing website/platform (UX/UI)', 'JavaScript and Genially Expert', 'Graphic Designer for Digital Asset Creation & Landing Page Design', 'Graphic Design and Formatting', 'iOS App UX/UI Designer Needed for Search, Navigation, and Posting Interface Redesign', 'Ongoing Hourly Design', 'Graphic Designer For Eco-Friendly Business']","['Product Management', 'Web Design', 'Mobile App Design', 'Graphic Design', 'Presentation Design', 'Mobile App Development', 'CRM Software', 'QA Engineering', 'Digital Project Management', 'Editorial Design', 'Art & Design', 'Testing', 'Data Visualization', 'Webflow', 'Framer']"
7,Presentation Designer | Content Design  |  Creative Services,$85.00/hr,"More than 15 years of Presentation Design and Creative Services for some of the world's biggest brands.  I am an Upwork Certified Presentation Designer that specializes in creating PowerPoint presentations that match your company's brand guidelines exactly for your next corporate event or sales meeting. 

Client list includes Discover Financial, Capital One, Nike, Puma, Adidas, Jeep, Subaru, Maybelline, Dunkin' Donuts,  Red Bull, Nestle, Microsoft, Apple, Pfizer, Johnson & Johnson, Yahoo!, Nature's Path, Nintendo, Yahoo!, Saucony, Autism Speaks, Emmis Communications and many others. 

Specializing in: 
•	Presentation Design (PowerPoint/Google Slides)
•	Pitch Decks
•	Brand identity, website and logo design
•	Instructional Design
•	Prezi
•	Canva
•	Infographics

I am an Upwork Certified Presentation Designer with a strong background developing corporate decks for clients in the Finance, Technology, Cleantech, Fintech, AI, Healthcare, and CPG space. Before Upwork, I managed the Creative Services department of Rodale's in-house ad agency. Strategized and crafted more than 500 decks and presentations for clients in every industry, helping to raise $50 million+ in revenue for our sales team during my tenure at Rodale Inc for their portfolio of magazines (Runner's World, Men's Health, Women's Health,  Organic Gardening, and Prevention.)

From advanced client pitch decks to integrated marketing proposals and seminars, I can turn your notes into a deck or proposal that creates a compelling narrative for your product, service or team.  I can also create decks and editable PowerPoint presentations that match your company's brand guidelines exactly for your next corporate event or sales meeting. 

I specialize in distilling information into a compelling visual narrative that is fresh and modern, and would love to chat more about your project!",105,"3,519",Kutztown,,100,"['Graphic Designer for B2B B2C Presentation', 'Tune up one last Instagram post', 'Other marketing pieces', 'Touch up on flyer', '2 hours legislation flyer in Canva', 'Create Proposal Template in Canva', 'Expert Needed for PowerPoint Design Template', 'Presentation Designer - PowerPoint', 'Presentation Design - design polish on existing deck', 'Tradeshow Video Presentation for UPS Rental and Sure Power', 'PPT Consultation', 'Customer facing One Sheet', 'Irvine Company Retail Properties Year-End Recap', 'Corporate Presentation Design Work', 'Dinning Guide - For multiple areas.', 'Looking for a PPT report designer', 'Basic EarthWise Website, Logo, Brief PowerPoint Template, Business Card', 'Justin Jabara', 'Sales Presentation for Business', 'Rework pitch deck']","['Financial Presentation', 'Microsoft PowerPoint', 'Sales Presentation', 'Logo Design', 'Google Slides', 'Infographic', 'Canva', 'Prezi', 'Presentation Design', 'Pitch Deck', 'Corporate Brand Identity', 'Adobe Photoshop', 'Brand Marketing', 'Graphic Design', 'Presentations']"
8,A+ Web & Graphics Designer | KDP | Catalog | WordPress Elementor | Wix,$21.99/hr,"💯 ✅ *wink!  Rockstar Top Rated PLUS Creative Freelancer that will make your life easier! ✅💯

★ Top-rated designer ★ 100% Happy clients ★ Unlimited revisions
⚡ Fast response ⌛ Deadlines are always met

Passionate, creative, responsible and friendly graphic designer VA. Highly experienced in design for print, large format, design for exhibitions, and so on.

And I really love what I do.

I have an up-to-date knowledge of industry software including Adobe CC and can easily interpret a design brief within the constraint of time. 

I offer the following services: 

✅ Logo and Branding Design and Development 
✅ Shopify and PageFly Landing Page Design
✅ WordPress and Elementor Pro Designer 
✅ Figma UI/UX
✅ WEB and Mobile banners
✅ Product Catalogue/Catalog, Brochure and Flyer
✅ Icons, Favicons and Customized buttons
✅ eBook, Print Cover Specialist
✅ Interior (eBook, KDP, IngramSpark)
✅ Product Packaging design
✅ Merch Design
✅ Infographics
✅ Photo Editing

Tools I am proficient with:

✅ Adobe CC Photoshop
✅ Adobe CC Illustrator
✅ Adobe CC InDesign
✅ Adobe CC Dimension
✅ Figma
✅ Miro
✅ Google Suite
✅ Slack
✅ Plutio
✅ Asana

Content Management System/Website development:

✅ WordPress
✅ Wix
✅ Elementor PRO, DIVI Builder
✅ Shopify
✅ Pagefly
✅ Kajabi

Here are some of my client's feedback:

 💯 ""Creative and fast worker. Thanks for the layout! He got the idea right away"" - Brochure Project

💯 ""Thank you, Gio for being so understanding for me being so demanding. Will definitely hire you again in the future. Thank you!"" - Ebook Cover project

💯 ""Good job! so fast and he accommodates on what I need. Will definitely order again from him 1 month ago"" - FB Banner project

💯 ""I worked with Giovanni on several projects and never have had any disappointment With his arts. Easily to communicate with and always deliver the project on time. Never complain Even it’s a numerous revision. True professional to deal with. Highly recommended."" - poster design project

Highlighted skills:

Roll-Up Banner, Cards & Flyers, Leaflet, Print Advertising, Trade Show Display, Print Materials, 3D Mockup, Design Mockup, Social Media Imagery, Infographic, Banner Ad Design, Exhibition design, Booth design, Custom Graphics, Menu, Merchandise Graphic Design, Signage, Vector Graphic, Visualization, Website Header, Advertising Design, Brochure Design, Business Card Design, Catalog Design, Double-Sided Design, Flyer Design, Graphic Design, Information Design, Invitation Design, Large Format Design, Layout Design, Postcard Design, Poster Design, Print Design, Resume Design, Sales & Marketing Collateral, Stationery Design, Sticker Design, Template Design, Skilled Designer, Design Expert, Adobe Illustrator, Adobe Photoshop,, Amazon KDP, IngramSpark, Catalog, Brochure, Newsletter, Company Profile, Pitch Deck

Hire me now and let's make your business a boom!",244,"3,089",Dumaguete,Philippines,96,"['Podcast cover for Ensemble Performing Arts Presents the Music Merchants Podcast', 'Improve the design of our website homepage using Wix', 'Laaflet price list', 'Website Development for Drop Servicing Business', 'E-Book Designer', 'Website Design- FOR GIO ONLY- NO ONE ELSE APPLY', 'Business card design', 'Recreate an illustration/figure', 'E-book formatting & graphic design', 'Design new banners for our homepage.', 'Hair Serum Catalog', 'Mockup and ready to print', 'WK Catalog 2024', 'AVCH Website', 'Update catalog from 2024 to 2025', 'Catalog designer | Mobility Products | Ebikes', 'Logo AV Custom Hospitality', 'Digital Catalog Needed', 'R&D poster', 'Digital Design Editor/Creator Newsletter Formatting']","['Adobe Photoshop', 'Adobe InDesign', 'Adobe Illustrator', 'Website Asset', 'Photo Editing', 'Corporate Brand Identity', 'Editorial Design', 'Image Editing', 'Social Media Marketing', 'Brand Identity Design', 'Brochure', 'Web Design', 'Banner Ad Design', 'Presentation Design', 'Catalog Design']"
9,Visual Design Expert | Graphic Design Specialist,$65.00/hr,"Welcome! I am Davide, a Top Rated Plus freelancer with a 100% Job Success score based in Rome, Italy. With a keen eye for detail and a passion for creativity, I specialize in visual communication design, integrating expert skills and innovative thinking to deliver sophisticated and impactful design solutions.

As a highly-qualified professional, I offer outstanding services across various design domains, including graphic design, logo and branding, editorial, product, and web design. My unwavering commitment to excellence and effective communication ensures that every project I undertake has exceptional, tailored outcomes that exceed client expectations.

[WHAT SETS ME APART]

• Efficiency Without Compromise: Experience fast turnaround times without sacrificing quality.
• Responsive Customer Service: Your satisfaction is my top priority, and I am always ready to address your needs.
• Unlimited Revisions: I am dedicated to refining until we achieve perfection.

[MY SKILL SET ENCOMPASSES]

• Keen Eye for Detail: Precision in every element to elevate your design.
• Mastery of Color Theory, Typography, and Composition: Deep understanding of impactful visuals.
• Adaptability to Trends and Technology: Staying at the forefront of design evolution.
I
 am confident that my blend of creativity, technical expertise, and positive attitude positions me as the ideal partner to help you attain your design objectives.

[SERVICES OFFERED]

• Digital painting and vector illustration
• Front-end web design
• Infographics
• Label design
• Layout for white papers, eBooks, magazines, menus
• Logo and brand book/guidelines/development
• Packaging
• Presentations and pitch decks
• Print collaterals like flyers, brochures, catalogues, trade show graphics, etc.

Feel free to explore my portfolio for a glimpse of my capabilities. I am eager to discuss how we can bring your project to life. Thank you for considering me for your visual communication design needs.",335,"1,440",Rome,Italy,98,"['Brand design', 'You will get Premium Logo (Brandmark) for Clear Business Identity', 'Sparkling Water label design', 'You will get Exclusive and Professional Monogram Logo Design for Your Business', 'Logo $300', 'Graphic designer needed for pitch deck (brand identity fully defined)', 'linkedin banner, email invite and e-mail signature for exhitbion', 'Business Card', 'Layout design', 'Bi-Fold Brochure & Retractable banners Design & business card for Industrial Services', 'Corporate Design Redesign and Sponsorship Brochure Revamp', 'Sparkling Water - Mango Label design', 'New Logo, corporate presentation *.ppt, co. introductory brochure and name card', 'Logo Design', 'Sub-brand Logo Design', 'Company Seal for Watch', 'Logo and Advertising Materials Design', 'Visual Communication', 'Packaging Design', 'Waikopou Bay Pickle Ball Club']","['Illustration', 'Infographic', 'Vector Art', 'Printable File', 'Label & Packaging Design', 'Editorial Design', 'Vector Graphic', 'Logo Design', 'Corporate Branding', 'Business Presentation', 'Brand Guidelines', 'Brand Identity']"
